repo_name,repo_url,total_files,total_python_files,internal_dependencies,external_dependencies,cross_module_calls,coupling_score,cohesion_score,complexity_score,dependency_depth,extractability_score,avg_file_complexity,max_file_complexity,total_classes,total_functions,analysis_status,error_message
facebookresearch/vissl,https://github.com/facebookresearch/vissl,2793,334,0,313,8523,1.0,0.005,1.0,1,5.15,17.39,174,390,2298,success,
apple/corenet,https://github.com/apple/corenet,977,498,0,387,7742,1.0,0.003,1.0,1,5.08,12.27,224,405,2187,success,
deepinv/deepinv,https://github.com/deepinv/deepinv,449,268,0,348,8963,1.0,0.006,1.0,1,5.17,20.68,260,455,2108,success,
facebookresearch/fairseq,https://github.com/facebookresearch/fairseq,2045,1021,0,912,32097,1.0,0.001,1.0,1,5.02,22.38,349,1472,8121,success,
josephmisiti/awesome-machine-learning,https://github.com/josephmisiti/awesome-machine-learning,57,1,0,4,11,1.0,1.0,0.0,1,55.0,0.0,0,0,0,success,
microsoft/unilm,https://github.com/microsoft/unilm,7350,3934,0,1769,124884,1.0,0.0,1.0,1,5.0,24.95,356,5604,32011,success,
mims-harvard/TFC-pretraining,https://github.com/mims-harvard/TFC-pretraining,197,65,0,76,1546,1.0,0.0,1.0,1,5.0,12.52,107,88,304,success,
microsoft/Semi-supervised-learning,https://github.com/microsoft/Semi-supervised-learning,1522,165,0,187,3086,1.0,0.001,1.0,1,5.03,11.47,70,150,701,success,
twitter-research/tgn,https://github.com/twitter-research/tgn,72,15,0,26,446,1.0,0.081,0.986,1,7.71,9.86,25,27,77,success,
microsoft/esvit,https://github.com/microsoft/esvit,331,43,0,90,2051,1.0,0.011,1.0,1,5.32,33.93,199,93,436,success,
PaddlePaddle/PASSL,https://github.com/PaddlePaddle/PASSL,744,272,0,314,8007,1.0,0.001,1.0,1,5.02,21.4,148,523,2349,success,
thuml/Transfer-Learning-Library,https://github.com/thuml/Transfer-Learning-Library,590,287,0,310,11296,1.0,0.005,1.0,1,5.16,12.02,64,303,1177,success,
google-research/scenic,https://github.com/google-research/scenic,1322,937,0,296,21489,1.0,0.0,1.0,1,5.0,19.52,237,857,4917,success,
