repo_name,repo_url,total_files,total_python_files,internal_dependencies,external_dependencies,fundamental_ml_dependencies,cross_module_calls,coupling_score,cohesion_score,complexity_score,dependency_depth,extractability_score,avg_file_complexity,max_file_complexity,total_classes,total_functions,analysis_status,error_message
facebookresearch/vissl,https://github.com/facebookresearch/vissl,2793,334,0,270,43,8523,0.255,0.227,0.744,1,53.8,17.39,174,390,2298,success,
apple/corenet,https://github.com/apple/corenet,977,498,0,356,31,7742,0.359,0.226,0.721,1,48.28,12.27,224,405,2187,success,
deepinv/deepinv,https://github.com/deepinv/deepinv,449,268,0,328,20,8963,0.352,0.367,0.755,1,50.07,20.68,260,455,2108,success,
facebookresearch/fairseq,https://github.com/facebookresearch/fairseq,2045,1021,0,839,73,32097,0.274,0.407,0.759,1,51.0,22.38,349,1472,8121,success,
josephmisiti/awesome-machine-learning,https://github.com/josephmisiti/awesome-machine-learning,57,1,0,4,0,11,0.25,0.0,0.0,1,52.5,0.0,0,0,0,success,
microsoft/unilm,https://github.com/microsoft/unilm,7350,3934,0,1609,160,124884,0.333,1.0,0.765,1,50.42,24.95,356,5604,32011,success,
mims-harvard/TFC-pretraining,https://github.com/mims-harvard/TFC-pretraining,197,65,0,52,24,1546,0.312,0.133,0.723,1,51.25,12.52,107,88,304,success,
microsoft/Semi-supervised-learning,https://github.com/microsoft/Semi-supervised-learning,1522,165,0,158,29,3086,0.201,0.279,0.716,1,59.52,11.47,70,150,701,success,
twitter-research/tgn,https://github.com/twitter-research/tgn,72,15,0,22,4,446,0.308,0.146,0.705,1,50.46,9.86,25,27,77,success,
microsoft/esvit,https://github.com/microsoft/esvit,331,43,0,70,20,2051,0.198,0.176,0.78,1,55.89,33.93,199,93,436,success,
PaddlePaddle/PASSL,https://github.com/PaddlePaddle/PASSL,744,272,0,308,6,8007,0.313,0.29,0.757,1,52.94,21.4,148,523,2349,success,
thuml/Transfer-Learning-Library,https://github.com/thuml/Transfer-Learning-Library,590,287,0,279,31,11296,0.302,1.0,0.72,1,50.7,12.02,64,303,1177,success,
google-research/scenic,https://github.com/google-research/scenic,1322,937,0,256,40,21489,0.428,0.255,0.751,1,41.86,19.52,237,857,4917,success,
lightly-ai/lightly,https://github.com/lightly-ai/lightly,1073,749,0,609,33,13822,0.269,0.193,0.716,1,57.57,11.37,297,1060,4345,success,
pyg-team/pytorch_geometric,https://github.com/pyg-team/pytorch_geometric,1772,1329,0,938,66,33493,0.477,0.538,0.73,1,43.63,13.84,372,1178,7360,success,
alibaba/EasyCV,https://github.com/alibaba/EasyCV,1688,1175,0,863,55,20172,0.215,0.279,0.72,1,56.97,12.07,240,1120,4826,success,
s3prl/s3prl,https://github.com/s3prl/s3prl,1221,709,0,514,41,16207,0.302,0.277,0.739,1,52.69,15.99,434,769,3967,success,
microsoft/UniSpeech,https://github.com/microsoft/UniSpeech,557,194,0,269,26,7477,0.237,0.243,0.781,1,53.04,34.38,308,334,2198,success,
imbue-ai/self_supervised,https://github.com/imbue-ai/self_supervised,59,9,0,21,6,318,0.143,0.084,0.758,1,57.0,21.89,69,23,91,success,
google-research/pegasus,https://github.com/google-research/pegasus,253,134,0,65,17,2062,0.242,0.105,0.706,1,56.31,10.0,70,136,584,success,
Lightning-AI/pytorch-lightning,https://github.com/Lightning-AI/pytorch-lightning,1302,645,0,490,78,17275,0.318,0.175,0.763,1,47.03,23.87,239,1481,8060,success,
facebookresearch/esm,https://github.com/facebookresearch/esm,558,79,0,124,16,2072,0.226,0.131,0.736,1,56.83,15.32,92,84,516,success,
brightmart/text_classification,https://github.com/brightmart/text_classification,195,95,0,63,3,3474,0.51,0.275,0.755,1,39.39,20.89,142,45,648,success,
google/trax,https://github.com/google/trax,477,198,0,121,24,7294,0.335,0.168,0.789,1,47.35,41.13,571,315,3870,success,
google-deepmind/sonnet,https://github.com/google-deepmind/sonnet,402,140,0,81,5,2861,0.523,0.078,0.737,1,39.74,15.58,129,323,1315,success,
PaddlePaddle/PaddleSpeech,https://github.com/PaddlePaddle/PaddleSpeech,4636,1082,0,815,31,25089,0.23,0.4,0.737,1,56.59,15.51,314,1056,5844,success,
volcengine/verl,https://github.com/volcengine/verl,1264,527,0,545,62,15107,0.192,0.274,0.757,1,55.59,21.46,243,498,3243,success,
dmlc/dgl,https://github.com/dmlc/dgl,2677,1227,0,743,80,43981,0.351,0.612,0.752,1,48.58,19.86,406,1393,9620,success,
HiLab-git/SSL4MIS,https://github.com/HiLab-git/SSL4MIS,144,66,0,76,27,3559,0.327,0.215,0.768,1,45.7,26.32,156,123,577,success,
Lightning-Universe/lightning-transformers,https://github.com/Lightning-Universe/lightning-transformers,263,95,0,96,12,687,0.227,0.105,0.633,1,59.23,4.62,46,42,286,success,
facebookresearch/detr,https://github.com/facebookresearch/detr,97,28,0,75,15,1038,0.181,0.154,0.756,1,58.68,21.14,84,49,232,success,
NVIDIA-Merlin/Transformers4Rec,https://github.com/NVIDIA-Merlin/Transformers4Rec,350,119,0,143,19,2193,0.163,0.119,0.74,1,59.43,16.33,205,163,729,success,
NVIDIA/Megatron-LM,https://github.com/NVIDIA/Megatron-LM,2494,799,0,808,73,23993,0.296,0.253,0.771,1,50.63,28.22,515,988,6486,success,
adap/flower,https://github.com/adap/flower,3555,1112,0,832,60,19230,0.246,0.244,0.708,1,56.35,10.29,122,746,5452,success,
facebookincubator/AITemplate,https://github.com/facebookincubator/AITemplate,1502,1063,0,572,27,21405,0.206,0.296,0.732,1,58.3,14.42,306,966,6754,success,
facebookresearch/DiT,https://github.com/facebookresearch/DiT,66,10,0,25,7,400,0.22,0.083,0.754,1,54.36,20.3,73,15,97,success,
facebookresearch/xformers,https://github.com/facebookresearch/xformers,1220,150,0,187,32,5342,0.308,0.129,0.772,1,51.29,28.68,287,234,1570,success,
open-mmlab/mmsegmentation,https://github.com/open-mmlab/mmsegmentation,2241,1403,0,382,27,9753,0.256,0.197,0.598,1,58.58,3.43,256,425,1806,success,
open-mmlab/mmdetection,https://github.com/open-mmlab/mmdetection,2857,1957,0,904,51,25514,0.284,0.472,0.678,1,55.35,7.21,329,1055,4747,success,
apple/coremltools,https://github.com/apple/coremltools,4632,789,0,593,85,25838,0.172,0.178,0.791,1,59.2,42.58,1635,2347,13247,success,
speedinghzl/pytorch-segmentation-toolbox,https://github.com/speedinghzl/pytorch-segmentation-toolbox,96,20,0,34,19,484,0.159,0.09,0.737,1,57.27,15.53,43,29,110,success,
NVIDIA/semantic-segmentation,https://github.com/NVIDIA/semantic-segmentation,115,44,0,53,28,1486,0.256,0.118,0.77,1,52.79,27.21,103,99,433,success,
qubvel-org/segmentation_models.pytorch,https://github.com/qubvel-org/segmentation_models.pytorch,256,131,0,112,12,2137,0.268,0.133,0.71,1,57.93,10.58,74,208,612,success,
CSAILVision/semantic-segmentation-pytorch,https://github.com/CSAILVision/semantic-segmentation-pytorch,125,37,0,51,15,922,0.172,0.134,0.74,1,60.39,16.34,90,56,223,success,
apple/ml-cvnets,https://github.com/apple/ml-cvnets,748,392,0,286,22,5883,0.355,0.23,0.717,1,48.21,11.57,225,317,1657,success,
tensorflow/tensor2tensor,https://github.com/tensorflow/tensor2tensor,638,453,0,141,32,15062,0.672,0.15,0.774,1,28.99,29.5,459,832,6647,success,
huggingface/transformers,https://github.com/huggingface/transformers,6329,3854,0,2729,485,167836,0.285,0.706,0.786,1,52.87,38.23,1014,12798,49931,success,
huggingface/datasets,https://github.com/huggingface/datasets,429,208,0,231,89,7714,0.156,0.142,0.795,1,54.46,47.84,861,367,3431,success,
NVIDIA-NeMo/NeMo,https://github.com/NVIDIA-NeMo/NeMo,4435,2424,0,1932,110,66709,0.285,0.306,0.763,1,52.68,24.03,393,3469,19732,success,
microsoft/LMOps,https://github.com/microsoft/LMOps,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,error,Failed to clone repository
microsoft/torchscale,https://github.com/microsoft/torchscale,146,68,0,108,12,1780,0.216,0.144,0.748,1,58.79,18.54,157,87,446,success,
bytedance/neurst,https://github.com/bytedance/neurst,460,240,0,183,22,4926,0.302,0.251,0.752,1,51.31,19.86,162,181,1225,success,
ludwig-ai/ludwig,https://github.com/ludwig-ai/ludwig,1152,654,0,588,38,13742,0.243,0.197,0.751,1,52.69,19.42,322,1114,5650,success,
PaddlePaddle/ERNIE,https://github.com/PaddlePaddle/ERNIE,708,247,0,388,7,9607,0.154,0.183,0.789,1,57.69,40.97,433,377,2277,success,
open-compass/opencompass,https://github.com/open-compass/opencompass,3619,2734,0,2044,30,19102,0.188,0.403,0.648,1,66.14,5.31,226,914,3543,success,
openai/evals,https://github.com/openai/evals,2450,344,0,288,20,6427,0.259,0.166,0.729,1,54.95,13.82,207,362,1927,success,
Farama-Foundation/Gymnasium,https://github.com/Farama-Foundation/Gymnasium,820,256,0,72,107,5312,0.404,0.188,0.745,1,46.23,17.45,166,246,1753,success,
google/fuzzbench,https://github.com/google/fuzzbench,841,200,0,102,7,3878,0.435,0.172,0.733,1,47.08,14.57,99,60,1342,success,
foundation-model-stack/foundation-model-stack,https://github.com/foundation-model-stack/foundation-model-stack,274,127,0,134,25,3410,0.342,0.194,0.756,1,49.24,21.3,140,240,1020,success,
vturrisi/solo-learn,https://github.com/vturrisi/solo-learn,473,148,0,141,16,2437,0.338,0.238,0.691,1,53.69,8.33,68,84,526,success,
wntic/segmentation-robustness-framework,https://github.com/wntic/segmentation-robustness-framework,223,93,0,117,10,1625,0.2,0.044,0.744,1,59.22,17.16,133,90,948,success,
ruescog/semantic_segmentation_augmentations,https://github.com/ruescog/semantic_segmentation_augmentations,149,24,0,29,3,189,0.358,0.38,0.617,1,49.38,4.0,9,19,41,success,
SegmentationBLWX/sssegmentation,https://github.com/SegmentationBLWX/sssegmentation,1147,833,0,269,23,8967,0.471,0.512,0.628,1,52.53,4.41,258,362,1224,success,
SegmentationBLWX/cssegmentation,https://github.com/SegmentationBLWX/cssegmentation,244,118,0,89,14,1359,0.208,0.392,0.659,1,64.03,5.93,89,76,242,success,
pytorch/serve,https://github.com/pytorch/serve,2287,416,0,357,37,7620,0.224,0.154,0.71,1,56.58,10.59,87,273,1952,success,
frankkramer-lab/MIScnn,https://github.com/frankkramer-lab/MIScnn,158,70,0,79,14,1237,0.261,0.104,0.745,1,58.49,17.67,87,48,495,success,
keras-team/keras,https://github.com/keras-team/keras,1222,918,0,102,481,24978,0.356,0.286,0.775,1,50.86,30.39,1091,1578,12711,success,
BVLC/caffe,https://github.com/BVLC/caffe,817,38,0,57,6,1025,0.2,0.097,0.785,1,57.23,37.7,743,45,334,success,
Xilinx/Vitis-AI,https://github.com/Xilinx/Vitis-AI,9378,1858,0,855,156,49623,0.203,0.33,0.775,1,58.79,30.06,1109,2907,20543,success,
pdollar/toolbox,https://github.com/pdollar/toolbox,755,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,no_python_files,No Python files found in repository
facebookresearch/detectron2,https://github.com/facebookresearch/detectron2,1020,497,0,521,45,11234,0.238,0.22,0.734,1,54.76,14.72,219,583,2897,success,
facebookresearch/ClassyVision,https://github.com/facebookresearch/ClassyVision,442,217,0,222,22,4049,0.206,0.176,0.726,1,57.5,13.14,186,366,1452,success,
pytorch/pytorch,https://github.com/pytorch/pytorch,21225,4101,0,1847,1435,206210,0.356,0.26,0.806,1,47.23,61.99,3365,17413,113099,success,
