repo_name,repo_url,total_files,total_python_files,internal_dependencies,external_dependencies,fundamental_ml_dependencies,cross_module_calls,coupling_score,cohesion_score,modularity_score,complexity_score,dependency_depth,max_inheritance_depth,registry_pattern_usage,has_config_system,extractability_score,avg_file_complexity,max_file_complexity,total_classes,total_functions,analysis_status,error_message
facebookresearch/vissl,https://github.com/facebookresearch/vissl,2792,334,137,83,44,8653,0.255,0.495,0.468,0.744,1,2,172,True,31.81,17.39,174,390,2298,success,
apple/corenet,https://github.com/apple/corenet,982,498,251,54,31,7819,0.359,0.493,0.408,0.721,1,2,283,True,27.43,12.27,224,405,2187,success,
discovery-unicamp/Minerva,https://github.com/discovery-unicamp/Minerva,304,167,72,51,25,2774,0.313,0.204,0.479,0.724,1,2,3,True,37.83,12.86,124,234,1188,success,
open-mmlab/mmsegmentation,https://github.com/open-mmlab/mmsegmentation,2240,1403,59,284,27,9902,0.256,0.455,0.532,0.598,1,1,258,True,36.78,3.43,256,425,1806,success,
open-mmlab/mmdetection,https://github.com/open-mmlab/mmdetection,2856,1957,135,722,51,26081,0.284,0.744,0.497,0.678,1,2,596,True,35.58,7.21,329,1055,4747,success,
deepinv/deepinv,https://github.com/deepinv/deepinv,450,270,87,203,23,9328,0.351,0.665,0.476,0.755,1,2,2,False,56.02,20.78,260,456,2121,success,
facebookresearch/fairseq,https://github.com/facebookresearch/fairseq,2044,1021,288,480,74,32838,0.274,0.68,0.441,0.759,1,2,839,True,32.02,22.38,349,1472,8121,success,
josephmisiti/awesome-machine-learning,https://github.com/josephmisiti/awesome-machine-learning,56,1,0,1,0,12,0.25,0.0,0.0,0.0,1,0,0,False,48.75,0.0,0,0,0,success,
microsoft/unilm,https://github.com/microsoft/unilm,7349,3934,1,1513,161,127441,0.333,1.0,0.467,0.765,1,4,2727,True,32.54,24.95,356,5604,32011,success,
mims-harvard/TFC-pretraining,https://github.com/mims-harvard/TFC-pretraining,196,65,0,39,24,1600,0.312,0.354,0.437,0.723,1,1,0,True,39.19,12.52,107,88,304,success,
microsoft/Semi-supervised-learning,https://github.com/microsoft/Semi-supervised-learning,1521,165,23,104,30,3125,0.201,0.556,0.554,0.716,1,2,36,True,43.58,11.47,70,150,701,success,
twitter-research/tgn,https://github.com/twitter-research/tgn,71,15,10,1,4,452,0.308,0.382,0.411,0.705,1,1,0,False,53.93,9.86,25,27,77,success,
microsoft/esvit,https://github.com/microsoft/esvit,330,43,5,40,20,2197,0.198,0.424,0.473,0.78,1,1,10,True,42.13,33.93,199,93,436,success,
PaddlePaddle/PASSL,https://github.com/PaddlePaddle/PASSL,743,272,32,237,6,8170,0.313,0.57,0.511,0.757,1,2,153,True,32.4,21.4,148,523,2349,success,
thuml/Transfer-Learning-Library,https://github.com/thuml/Transfer-Learning-Library,589,287,89,165,31,11538,0.302,1.0,0.424,0.72,1,2,17,True,42.8,12.02,64,303,1177,success,
