category,repo_name,extractability_score,total_python_files,modularity_score,coupling_score,registry_pattern_usage,has_config_system,internal_dependencies,external_dependencies
Top 15 Most Extractable,SegmentationBLWX/cssegmentation,63.75,118,0.659,0.208,1,True,2,65
Top 15 Most Extractable,Lightning-Universe/lightning-transformers,61.48,95,0.525,0.227,0,True,60,19
Top 15 Most Extractable,qubvel-org/segmentation_models.pytorch,60.81,131,0.581,0.268,0,False,12,79
Top 15 Most Extractable,frankkramer-lab/MIScnn,59.98,70,0.602,0.261,2,False,46,14
Top 15 Most Extractable,SegmentationBLWX/sssegmentation,56.83,833,0.615,0.471,1,True,16,222
Top 15 Most Extractable,lightly-ai/lightly,55.98,749,0.579,0.269,26,True,485,71
Top 15 Most Extractable,deepinv/deepinv,55.88,270,0.472,0.351,2,False,87,203
Top 15 Most Extractable,vturrisi/solo-learn,53.94,148,0.529,0.338,27,True,66,52
Top 15 Most Extractable,discovery-unicamp/Minerva,53.25,167,0.477,0.313,3,True,72,51
Top 15 Most Extractable,google-research/pegasus,52.91,134,0.5,0.242,27,True,31,16
Top 15 Most Extractable,thuml/Transfer-Learning-Library,52.64,287,0.42,0.302,17,True,89,165
Top 15 Most Extractable,microsoft/Semi-supervised-learning,51.92,165,0.558,0.201,36,True,23,104
Top 15 Most Extractable,google/trax,51.88,198,0.39,0.335,6,True,60,19
Top 15 Most Extractable,openai/evals,51.69,344,0.488,0.259,21,True,148,84
Top 15 Most Extractable,PaddlePaddle/ERNIE,49.99,248,0.5,0.154,12,True,12,328
Top 15 Least Extractable,tensorflow/tensor2tensor,7.61,453,0.263,0.672,1434,True,46,46
Top 15 Least Extractable,google-research/scenic,18.86,937,0.313,0.428,203,True,146,68
Top 15 Least Extractable,pytorch/pytorch,19.43,4108,0.426,0.356,2733,True,197,1466
Top 15 Least Extractable,NVIDIA-NeMo/NeMo,24.5,2432,0.477,0.286,208,True,1159,692
Top 15 Least Extractable,ludwig-ai/ludwig,25.6,654,0.421,0.243,616,True,343,159
Top 15 Least Extractable,apple/coremltools,26.72,789,0.531,0.172,1467,True,231,279
Top 15 Least Extractable,microsoft/unilm,26.73,3934,0.444,0.333,2727,True,1,1513
Top 15 Least Extractable,facebookresearch/fairseq,26.98,1021,0.44,0.274,839,True,288,480
Top 15 Least Extractable,apple/corenet,27.36,498,0.412,0.359,283,True,251,54
Top 15 Least Extractable,huggingface/transformers,27.43,3855,0.499,0.285,303,True,10,2629
Top 15 Least Extractable,apple/ml-cvnets,27.98,392,0.416,0.355,220,True,207,39
Top 15 Least Extractable,volcengine/verl,28.5,558,0.453,0.187,224,True,174,325
Top 15 Least Extractable,facebookresearch/ClassyVision,28.95,217,0.507,0.206,203,True,52,127
Top 15 Least Extractable,alibaba/EasyCV,29.72,1175,0.494,0.215,565,True,224,583
Top 15 Least Extractable,open-mmlab/mmdetection,30.41,1957,0.493,0.284,596,True,135,722
